"profile","workload","run","input_tokens","output_tokens","ttft_ms","wall_ms","tpot_ms","tok_s","http_status","finish_reason","timestamp"
"00-known-good-2026.5","short","1","21","256","9720","9737","0.07","26.29","200","length","2026-09-16T02:26:15.9298177Z"
"00-known-good-2026.5","short","2","21","256","9782","9791","0.04","26.15","200","length","2026-09-16T02:26:27.7428788Z"
"00-known-good-2026.5","short","3","21","256","9627","9635","0.03","26.57","200","length","2026-09-16T02:26:39.4140516Z"
"00-known-good-2026.5","medium8k","1","8003","256","10871","10885","0.05","23.52","200","length","2026-09-16T02:27:13.8024361Z"
"00-known-good-2026.5","medium8k","2","8003","256","10737","10743","0.02","23.83","200","length","2026-09-16T02:27:26.5566939Z"
"00-known-good-2026.5","medium8k","3","8003","256","10901","10908","0.03","23.47","200","length","2026-09-16T02:27:39.4761938Z"
"00-known-good-2026.5","long32k","1","32007","256","13734","13749","0.06","18.62","200","length","2026-09-16T02:29:12.6710023Z"
"00-known-good-2026.5","long32k","2","32007","256","13266","13272","0.02","19.29","200","length","2026-09-16T02:29:27.9550681Z"
"00-known-good-2026.5","long32k","3","32007","256","13181","13188","0.03","19.41","200","length","2026-09-16T02:29:43.1549772Z"
"20-u4-b4096-seq4-2026.5","short","1","21","256","10762","10781","0.07","23.75","200","length","2026-09-16T10:56:38.8676219Z"
"20-u4-b4096-seq4-2026.5","short","2","21","256","10749","10760","0.04","23.79","200","length","2026-09-16T10:56:51.6563537Z"
"20-u4-b4096-seq4-2026.5","short","3","21","256","10813","10823","0.04","23.65","200","length","2026-09-16T10:57:04.5028509Z"
"20-u4-b4096-seq4-2026.5","medium8k","1","8003","256","11080","11103","0.09","23.06","200","length","2026-09-16T10:57:43.5270221Z"
"20-u4-b4096-seq4-2026.5","medium8k","2","8003","256","10910","10920","0.04","23.44","200","length","2026-09-16T10:57:56.4584777Z"
"20-u4-b4096-seq4-2026.5","medium8k","3","8003","256","10888","10898","0.04","23.49","200","length","2026-09-16T10:58:09.3685661Z"
"20-u4-b4096-seq4-2026.5","long32k","1","32007","256","13441","13462","0.08","19.02","200","length","2026-09-16T10:59:47.6979143Z"
"20-u4-b4096-seq4-2026.5","long32k","2","32007","256","13375","13387","0.05","19.12","200","length","2026-09-16T11:00:03.0998492Z"
"20-u4-b4096-seq4-2026.5","long32k","3","32007","256","12850","12864","0.05","19.9","200","length","2026-09-16T11:00:17.9770171Z"
"21-u4-b8192-seq4-2026.5","short","1","21","256","9780","9797","0.07","26.13","200","length","2026-09-16T11:02:26.6293028Z"
"21-u4-b8192-seq4-2026.5","short","2","21","256","9769","9780","0.04","26.18","200","length","2026-09-16T11:02:38.4290121Z"
"21-u4-b8192-seq4-2026.5","short","3","21","256","9724","9731","0.03","26.31","200","length","2026-09-16T11:02:50.1797810Z"
"21-u4-b8192-seq4-2026.5","medium8k","1","8003","256","10795","10814","0.07","23.67","200","length","2026-09-16T11:03:24.2770891Z"
"21-u4-b8192-seq4-2026.5","medium8k","2","8003","256","10863","10874","0.04","23.54","200","length","2026-09-16T11:03:37.1604227Z"
"21-u4-b8192-seq4-2026.5","medium8k","3","8003","256","11208","11215","0.03","22.83","200","length","2026-09-16T11:03:50.3887777Z"
"21-u4-b8192-seq4-2026.5","long32k","1","32007","256","13245","13267","0.09","19.3","200","length","2026-09-16T11:05:22.7643197Z"
"21-u4-b8192-seq4-2026.5","long32k","2","32007","256","13231","13238","0.03","19.34","200","length","2026-09-16T11:05:38.0148535Z"
"21-u4-b8192-seq4-2026.5","long32k","3","32007","256","13273","13282","0.04","19.27","200","length","2026-09-16T11:05:53.3075718Z"
